日付,担当者名,アカウントID,顧客名,業種,営業方法,ステータス,先方担当者,電話番号,メモ,メモ不可（個人シートにて反映）
2025/01/06,Ishii Hitomi,y.yuu2010,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,kanro231,,美容サロン,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,monotone0404,,美容サロン,,未返信,,,,
2025/01/06,Ishii Hitomi,handmadecosmetics_chikakoyano,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,personalmake_lesson_callalily,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,secret_k_beauty,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,lacrysta_official,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,umeda.lilybabe,,美容サロン,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,miin_k.cosmetic,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,cosme__consultant,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,celladiant_official,,美容サロン,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,k_____peach,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,naia_astena_official,,その他,フォーム,未返信,,,,
2025/01/06,Ishii Hitomi,pola.bluenote,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,ssin.studio_kofu,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,ferne_official,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,arztin_jp,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,asno_japan,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,coscos_makeup,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,misato_color_,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,kaoruko_faveur,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,cleo__shop2,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,http://koreabuddy.jp/,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,kotolabo.kyoto,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,chiii_color,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,takeda.beauty,,美容サロン,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,kotoimage,,その他,LINE,未返信,,,,
2025/01/06,Ishii Hitomi,http://tovegan.jp/,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,marmar.d_official_jp,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,marikaself,,その他,DM,未返信,,,,
2025/01/06,Ishii Hitomi,charde_jp,,その他,DM,未返信,,,,
